Sentiments,Reviews
Negative,very bad experience. I purchase Haier refrigrater from daraz but from first day touch panel not working i complain many time but not response from haier very bad service
Negative,"Giving electric shocks on the door, called Haier help line the technician came and opened the back panel to cut a wire inside, worked fine but again the same. Don't know he had cut inside which might cause an issue for me later. Did not expect to pay over lac and face this problem."
Negative,"Recieved in good packing but when we turned on thr referigerator, it didnt cool evwn after continous workng for 6 hours as guided by the helpline. The engineer came and told us there is no gas in the fridge and now they have sent it for repair. We did not pay the money for a repaired fridge and we are trying to convince the company to provide us with a new one. Very poor experience."
Negative,"Packing was not good you cam see in pics,No idea TCS made this mess or from Draz. Received in Rickshaw from TCS which was full of other cartons./ boxes Worst Haier seller response,they do not even respond for any question / query. Warranty card came as blank, no date or time mentioned."
Negative,not mentioned from where we can get warranty claim in case God forbid if anything went wrong.
Negative,received dented unit.
Negative,"colour is grey not black as advertised,"
Negative,Came all scratched and dented. Disappointed!
Negative,Got the fridge and I am amazed because even after 24 hours of installing it the fridge is not working. Not even 1% of it is cold inside. Daraz has delivered me a damaged product. I would advise everyone not to get electronics from websites cuz u never know the product works or not. Dont know the hassle now of getting it replaced as the customer service of daraz is not very helpful. They never attend calls and responds after so days. Good luck to me !
Negative,Warranty card given is of last year ..Warranty expires on 31 Dec 2016 however I have purchased it on 12 May 2017 and referigerator is not cooling anything .What should i do now ?
Negative,"Product was delivered with a major dent in its front door, I registered a complaint, daraz says product replacement will take almost 20 day (15 working days), who will wait for 20 days after paying for the product??"
Negative,Seems like refurbished. Outer body have dents on both sides
Negative,Cooling effect is less...as it is suppose to be moreover a huge noise in room when so ever compressor start/stop.
Negative,The product was dented from a side when it arrived and warranty card is not date stamped
Negative,Worst ever brand with pathetic low quality equipment and absolutely pathetic after sale service and extremely rude customer support. It takes days callings them and getting the customer support to respond and with NO Warranty. Making lame excuses and asking for money even in warranty. I bought 4 AC from Daraz and now will never buy it again.
Negative,"I bought 4 inverter ACs from this seller. All of them produce very ugly noise due to vibration in their operation as heaters. Secondly, the remote provides horizontal swing options, whereas the AC does not have any such option.."
Negative,I received the product in time.But the installation hasn't been done so far .I asked the changhong ruba representative to send their worker for installation and it has been more than 24 hours and the workers hasn't contacted yet.Also they are unavailable at UAN today bcs of sunday so installation is still pending.Whwn installed I will review about functioning as well.
Negative,"Worst experience, I got my ac delivered on 28 aug and its been 7 days I'm calling them for installation every time they gave me a new number for technecian and when I call them they make excuses but never come... Now I think I made a biggest mistake to order changhong ruba what if I ever need them to fix any issue with my ac, their technician sucks. NOT RECOMMENDED AT ALL."
Negative,installation team is Fraud they took 8 k from me
Negative,3rd class inverter never buy this again in winter the noise of compressor is so loud i bought 3 units of this brand after using them i am strongly disappointed
Negative,It's a fraud advertisement. Chenghong ruba needs invoice for free fitting and draz is not sending invoice. The person from chenghong ruba asking Rs. 2000 as fitting charges
Negative,Very poor delivery service and the back up support. The company withheld deleivery because I chose different address for billing and delivery. It took me 2 days to explain.
Negative,very disappointed. Outer delivered dented and damaged. on cooling mode I've set the temperature on 28c the compressor keeps on running continuously and doesn't switch of
Negative,Damaged piece is delivered to me.
Negative,Worst ever brand with pathetic low quality equipment and absolutely pathetic after sale service and extremely rude customer support. It takes days callings them and getting the customer support to respond and with NO Warranty. Making lame excuses and asking for money even in warranty. I bought 4 AC of this brand from Daraz and now will never buy it again. They say 5 year but don’t even honor their own 1 year warranty
Negative,"too late delivery after 9 days in evening I called three times, but company has not yet sent installer. waitn from two days. it seems we will need to arrange private installer. I called again but now they say we do not provide instsller you will need to arrange on your own. Secondly spare parts of Ruba are not available. I wouldn't have ordered this."
Negative,I bought this AC with high hopes . But firstly one day after I booked it the rates were reduced by 2000 and no one listened or helped me how to get this reduction. Then when I got the ac delivered the installation team arrived next day but the ac is not working. the ram has unable to understand the reason. when I contacted he helpline they said a new team will come. If new ac has such problems what will happen when it repaired. a very bad experience furthermore the installing team also asked for Rs. 1700/ for outdoor unit stand/ac switch /additional wire for the indoor unit.But I gave them 1500.. I demand daraz to compensate me for this hassles / extra payments and ensure that a new working ac is installed immediately to replace the faulty one . looking forward to a immediate and favourable response from team daraz/concerned dealer.
Negative,i got my pkg.. installed and worked fine in cool mode for some days but its some features are not working.. its dry mode and heat mode is not working.. it is making noise from some days.. it is not tripping as it has to.. have i got a faulty piece?? making me annoyed..
Negative,AC DID NOT WORK. THIER PEOPLE CAME TO INSTALL AND MENTIONED SOME PCB ISSUE. Need this issue resolved asap.
Negative,outdoor unit is not working after installation highly disappointed please take it back
Negative,"Very Small Inner, looks like 1 ton AC, Not at all good for more than 10x10 room Showed free installation in Add but didn't provide free installation Pathetic brand pathetic services Ist time tried n regretting Haier is much much better"
Negative,"Changhong delivery guys charged extra money Swing option is not properly working After one month use, it started giving burning like smell, i dont know whether they will cover and fix this in warranty Will call their helpline tomorrow"
Negative,They never gave free installation service
Negative,"There is no free installation kind of thing all lies we were waiting From two days nobody arrives , We have called on their provided customer service number 12 times every time the operator said your issue has been highlighted, Really!!!! Today we got the installation from local Ac / Inverter company waited alot for them in pictures i am also attaching some pictures of thier message i received and the numer of Ac technician is written over there but it's off since the message arrived Shame!! Pathetic Customer service i am going to attach pictures of thier message,"
Negative,In first season unit kit failed and the delayed to full fill warranty claim.
Negative,"The AC is good, however the daraz and the courier company took too long to deliver it. It was delivered after 14 days of ordering. Daraz customer care is nit so professional as they don't have any resolution for any complaint. The timelines of courier company and daraz were also wrong and different from each other."
Negative,Received Damage
Negative,"it's a total fraud, no free installation, changhong rubba call center told me that said daraz is deceiving us. There is no free installation I paid 2000 for it."
Negative,order was delayed alot and for no reason Daraz cancelled my order when. I asked about it there was no answer from Daraz also when I called for the installation. there technician was asking for money.although the installation is free
Negative,"Very very pathetic product, even after installation, three days have been past and I am not able to use AC. Service center is not cooperating. They just give me Mr. Yasir number for problems in Karachi but unfortunately he is not picking up my phone. I will suggest NEVER EVER BUY CHANGHONG RUBA. I will also post this on my Facebook page if they don't listen."
Negative,poor installation
Negative,"Very poor post sale support, frustrating. Got AC installed and it didn't work. first there was no warranty card, after getting the warranty card the team is not coming to fix it due to internal issues of the company and support company."
Negative,"INSTALLER THEFT OUR AC CABLE , I COMPLAINED SAME DAY TO EVERYONE, BUT SELLER, CHANGHONG COMPANY AND DARAZ RESPONSES ARE DISAPPOINTING AFTER 14 DAYS. DARAZ ALSO SUPPORT SELLER & CANCEL MY RETURN 2 TIMES AND NEVER HELP TO SOLVE THE ISSUE. THIS IS VERY DISAPPOINTING AND DISCOURAGING RESPONSE FROM “DARAZ”. THIS REVIEW IS FOR AWARENESS ."
Negative,3rd class Service. They are trying to copy Haier but changruba is not even close to Haier's professionalism. Buy and get installed at your own risk.
Negative,Worst ever brand with pathetic low quality equipment and absolutely pathetic after sale service and extremely rude customer support. It takes days callings them and getting the customer support to respond and with NO Warranty. Making lame excuses and asking for money even in warranty. I bought 4 AC from Daraz and now will never buy it again.
Negative,i received the item but when i checked the warranty card say compressor warranty is only 5 year but in Ad it say 10 year then i tried to get free installation they said we will contact you within 24 hour but even after i call them there is no response the items did comes in ok shape but how Will i kow that they are working properly too . I ordered it to use in Eid but I think they are not going to equip it for me
Negative,Very poor service dlevery
Negative,"It is consuming more electricity than the non inverter Cool only 1.5 ton CSC series 2017 model of Changhong. It has lesser throw, lesser cooling rate and smaller indoor unit. Not sure if something wrong with my unit or they are selling fake DC Inverters. Tried to connect them for after sale services but no positive response so far."
Negative,"Plastic material is not good, I mean ac body material very bad."
Negative,Received the product timely as per commitment. But the free installation is annoying. i had informed the helpline and they responded that you will be contacted within 24 hrs for installation by company after the lapse of the deadline I have been continuously following up through calls and even through email but no one is turning up for installation. Please let me know to whom should i escalate to get it installed. To potential buyers installation is a gray area i believe so beware before ordering.
Negative,"Unit was received in ok condition. Installation took 3 days after lots of follow up with karachi team. Quality of free installation was not upto mark. No electric plug found with AC , NO Remote wall mounted rack. Heat option not available on remote"
Negative,compressor of the AC is tripping again and again making cooling impossible.
Negative,"Remote look like not for this Model , I think it has been changed"
Negative,"outer off after some time, also called to changhong Ruba office but but still fault not trace out, also nobody who can help to solve the issue. next I will not purchase from draz"
Negative,Product is good but unfortunately the fins of indoor unit are damaged on three places
Negative,"shape is not good. looks old model infact only name change, model is same to old one"
Negative,"Bad experience !inverter was brand new but when installed there was communication error,means problem with outdoor kit.then launch complaint at Changhong,waited for 4 days and at 5th day person came with new kit.now it’s working.thanks to Changhong to resolve the issue.thing is everyone buys new product for piece of mind ,not for that kind of hassle ."
Negative,"There seems to be no after sales services. As advertised free installation. No one installed, I called their support several times they just keep on hi lighting my request. Very unprofessional and immature behaviour. Changhong should automatically call the customer whom they delivered the ac for installation."
Negative,"I am unhappy with delivery service. Seller delivered through tcs. Whem ac arrived in our city, tcs guy call me that i have to pick it from there office. Paid delivery fee to seller but collect personally from tcs office and paid delivery charge to 3rd party again. Product is ok but unhappy with delivery service, i ll give 2 star to seller."
Negative,"horizonal swing not working, less air throw, not efficient in heat and cool . no free installation offered in other than major cities. delivery was fast and well packed"
Negative,The product was delivered late and installation team too is late 5 days.
Negative,received after 13 days of order and most of all received after 7 days as daraz give delivery time. called alot of daraz as well as shipping company but daraz said we are resolving your issue and shipping company said we will deliver when your turns come no Matter what draz give u time..calling to Multan service center number for free installation as per they give us offers but no one picked the call whole day so decided to install my self.
Negative,the AC was received in two days but promised free installation is awaited. The customer service has not responded even after 8 days of generating the request of installation. very poor customer service.
Negative,Changhang ruba Product is awesome and performance is great but the guys not installed the Ac even they mentioned on the top free installations.
Positive,amazing product
Positive,"Delivery was fast, product was as advertised and installation w also satisfactory."
Positive,Delivered within 2 days and free installation was done the next day. Excellent Service!
Positive,"The whole experience was very good. The inverter written in the title was a bit misleading. Other than that, everything was too good."
Positive,Excellent Product and Super fast shipping next day and also installed same day of shipment. Thanks!!!!!!
Positive,"Great experience will find it much cheaper than market, enjoy the 11.11 sale, thanks daraz"
Positive,"nicely packed great cooling, professionally installed by haier tea for free, great hbl deal on 11.11 sale"
Positive,AC is working Excellently after a month of usage. Room is a bit large but still cooks it quite easily. It is GOOOOOD!
Negative,"Calling Haier for installation, long waiting still not connected"
Negative,Received black color instead of silver. Seller didn't cooperate with us. Not recommended
Negative,Installation team was there within one hour after call. Warranty of this model on haier website is ten year for compressor and 4 year for pcb. But on book and on box was 5year just for compressor. PCB and parts warrenty was not mentioned any where.
Negative,Outer unit has no gas. vendor should send his technician to check on a/c that is not functioning although just got the unit installed! terrible service by vendor since they should check the product's condition before shipping it.
Negative,AC is not cooling. The number given on warranty card is not answering. very disappointed.
Negative,I placed order last night and I have received my ac today. Very quick service but 1. Warranty card is NOT inside 2. Inverter is not mentioned on the box I have made video of opening the boxes. No one is replying from TCL flagship store. Once they contact me and provide me warranty card i will update my review else i m going to return the product . Daraz help is asking to contact company or return they cannot help to provide warranty card.
Negative,"Today I got this AC installed and believe me it is not working the way 1 ton AC should be working. There is barely any cooling and I am not sure what exactly is the issue here. I am also using 1.5 ton AC which is perfect but this is somehow not okay, air throw is way too low than the regular 1 ton. That is actually causing low cooling even at 16 turbo settings."
Negative,I've bought this AC last year March 2022 and it worked for 6 months. now I tried to on this but it's not working and they are saying it's out of warranty and the expense will be 25000. This is ridiculous. have I paid almost 70000 for 6 months to you because now it's a waste for me. Above all no one is helping me out in this from the company
Negative,no warranty certificate
Negative,poor service by daraz team. too much late delivery
Positive,PACKING WAS GOOD AND DELIVERED UNHARMED. PRODUCT IS GOOD AS WELL.
Positive,Genuine product. Quick delivery. AC is working till now.
Negative,However inconsistent performance. Sometimes does very well sometimes doesnt. My room isnt so big.
Negative,Very Nice product but delievery is too Late please daraz choose differnt online delivery companies Tcs is very slow give awareness.
Positive,received on time packing was little damaged in transport installed by third party will review more after using looks nice and good
Positive,"Arrived very fast, awesome speed, have not installed it yet that why cannot review about performance but Seems Great, will update review after insralling. I have bought in total 3 AC, this reviewing same on all three."
Positive,Deliver on time and satisfied with the product
Positive,Great Product
Positive,Quick deliver perfect product
Positive,reached perectly just have to install and let's hope good
Positive,Excellent quality and performance TCL
Positive,This product is amazing. I have been using this AC with my solar system and it is working great with very less electricity. The cooling and performance are also excellent.
Positive,Fast Delivery Excellent packing
Negative,U say that it is free delivery but when ac kam tha took 2400 hundrad for delivery charges
Positive,Perfect AC is a perfect price. Really satisfied after using it
Positive,Fast delivery and well packed with care ...Overall 10/10 points good ac then other brand on this price. I bought this on event 98k..
Positive,AC received in excellent shape and packing
Positive,I am very happy with TCL quality. It's noiseless.
Neutral,"The microwave oven has a sleek design, but the control panel can be a bit confusing to navigate."
Neutral,"The iron has a steam burst function, but it tends to drip water if not positioned upright."
Neutral,"The TV has good color accuracy, but the viewing angles are limited."
Neutral,"The home theater system has multiple sound modes, but the speaker wires are relatively short."
Neutral,"The refrigerator has adjustable shelves, but the freezer compartment could be more spacious."
Neutral,"The washing machine has a variety of wash programs, but the spin cycle can be loud."
Neutral,"The customer service was responsive and provided a solution, but the wait time on the helpline was long."
Neutral,"The blender's motor is powerful, but the controls could be more intuitive."
Neutral,"The vacuum cleaner has strong suction, but it's a bit heavy to carry up and down the stairs."
Neutral,"The air conditioner has a sleek design, but the installation process was complex."
Neutral,"The microwave oven has quick cooking presets, but the interior capacity is relatively small."
Neutral,"The iron has a non-stick soleplate, but it takes a while to heat up to the desired temperature."
Positive,"Assalamualaikum, Today I received the skipping rope, and the product is good , not bad according to price, 10/10, and I also wanted to make a reminder that my fellow humans and Muslims, always remember why you are here on this planet and why you are given this test, and don't forget ALLAH AZAWAJAL, and turn back to him, because he created you for worshipping him, not for wasting time in this life, and not for pleasing others, may ALLAH Grant you all hidayat and you stay consistent in you salats and worshipping, Amen."
Positive,fully satisfied.. 😍😍 exactly same as shown in pics.. thanks seller and Daraz...! I've 5'6ft height and rope's length is perfectly fine...! seller highly recommended..!
Positive,excellent product quantity.
Positive,Good Product Low price Nice product thanks seller
Positive,wao.. great product. timely received and received discounted price. nice seller. always give discounted priced product for every one. thanx daraz and seller.
Positive,Really appreciated 🙂 This jumping rope same as picture i will give you 5 stars because of product quality is really amazing i can jump easily without any struggle 😇
Positive,Very good rope been using this for about 4 days and completly satisfied by this product and seller. My height is 5.6 and it fits me perfectly.
Positive,Best packageing best communication and very fast delivery highly recommended
Positive,very useful product ...thank u to seller...
Positive,Good skipping rope. My boy is truly happy.
Positive,the quality of rope is amazing and it's perfect for me highly recommended
Positive,The product is almost worth for money. It's a bit costly as compared to the material quality it's using but you will probably not get anything good less than that.
Positive,"quality is good for the price , thickness looks less but it is comfortable and serves the purpose. material is also good. highly satisfied with the product."
Positive,This is such an awesome mat: • Same as Shown in The Pictures and Description • Same Color Received as Requested • Safe Packaging; No Dent or Broken • Amazing Thickness x Softness; I was worried that this would really help me with exercises like Planks on which I feel excessive pain in my elbows and knees. But this mat solved that problem very well. • Length is Super Long; I can even sleep on this. Overall amazing product: Recommended!
Negative,not much satisfied
Positive,It's just trusty not well-known it's quality is not good
Neutral,average quality
Neutral,Better not best
Neutral,i really like the quality and perfect packaging but they have sent me random color
Positive,Matt is good quality and very soft even foot fingerprint are shown on it.
Positive,"Amazing product, as smooth as i imagined, love it"
Positive,It's Excellent.. Comfortable.. Satisfied..💯
Neutral,Looks Good quality product but time will prove the durability of the product. I am little bit concerned about its thickness but over all its fine.
Positive,this product is really effective to your jawline .. I bought it recently and you will believe I found it so working .. it is too strong to handle the pressure of your jawline... it's very good product
Neutral,"Got delivered on time. The seller seems to be a very nice guy. I have used it for one day only so i cant tell whether it works or not, but I definitely felt the needed pressure in my jaw so I assume it will work. I have seen some videos on YouTube and this product is very similar to that one, so it will hopefully work in ling run."
Positive,Very very very good product and with mind blowing 👌 results and the delivery service was very fast I am totally satisfied 😌 thank u daraz ❣
Positive,I have received my Jawliner.I am very excited and So satisfied with this product.It is really a good product and its quality is up to the mark.I recommend all those customers who order from Instagram plz Try this.This is The same product in Cheap price.Thanks
Positive,"very very Good Product, Great Quality at low price. its pretty hard, thats a sign that it will probably work for your jaw line. but I have not tried yet. Let's see !"
Positive,it's really a good product thank you so much for building trust in the market 😊 thanks seller recommend and trustworthy.
Positive,Aoa Seller! Bro the product was way better than I expected it to be loved it awesome service 🙂
Negative,I hoped the quality would be better than this I hardly used it for three to four weeks and it is ripped from the position where you place your teeths. The quality should be better than this that white rubber is there to resist the teeth force and it is ripped. My teeth gums are injured and slightly bleeding. 0/10 product
Negative,It is useless I used it but there is no difference instead of using this useless product you all can do jawline exercise which is more effective waste of money
Negative,your product just broken after 2 days I a m not satisfied
Negative,"worst thing ever ordered from daraz,, got broken within 4rth time of use.."
Negative,"Not the best quality, side support's got tored on 2nd day"
Negative,"bad product, quality is so cheap"
Negative,After a week it’s broken
Negative,useless
Negative,the product is to much hard causes pain in teeth and when you chew it .... it's middle white line came out
Negative,"6/10 this is my 3rd order, packing was average, again it only lasted for about a week, broken from the middle!"
Negative,To be honest it’s not working!
Neutral,not bad it's not for the jaw its chin shaper but it's good
Neutral,good but the white part was coming out after one use.
Positive,It’s good 70%
Positive,"product was genuine and original, the packing was very good, I am very happy, but there was a problem, the parcel arrived very late, after seven days."
Positive,Good product 👍👍👍 I am very happy about this product. Love that ❤️😘
Positive,Amazing products 100 % pure creatine monohydrate well packed. fast delivery 100% trusted seller thanks daraz
Neutral,Was delivered on time and packed well. As for the quality I will update after a month or so.
Positive,very good quality best for muscle gain and increase stamina
Negative,As you can see the whole box is dirty with creatine. The lid was loose and there was a tear in the seal. Is this the type of quality and service that we can expect from such a good brand? I am absolutely disappointed. Have contacted the seller via chat and they have told me to complain to daraz for a replacement. But this should be done from seller side as they are selling the product and customer is only paying and recieving product. I demand a refund or replacement asap since I had to wait a long time to get this and still it is in such shape.
Positive,HONESTLY SAYING THIS CREATINE IS ONE OF THE BEST AVAILABLE IN MARKET. I TEAR THE SEAL MYSELF. PACKAGE WAS DELIVERED WITH SAFETY AND IN TIME.LOOKING FORWARD TO SEE GOOD RESULTS . I WILL ORDER ANOTHER.
Positive,"it was in perfect condition, sealed too and the quality is all over good plus got the same thing as it is im the pic."
Neutral,looking okay. let see work or not. have creapure logo on box. hopefully is only creapure not cheating in it. because in pakistan everything possible😔
Positive,"This is my second purchase of this product & simply loving it, results are awesome & product is perfect 👍 Thanks Daraz & seller ❤️"
Positive,MahAllah great product.. Shipped within 2-3 working days and with very good packing. Original product.. Thank you seller
Neutral,it's my first time using creatine but the results are not up to my expectations but still I'm gaining muscle size so yeah at least it is effective.
Neutral,Delivery was delayed overall experience is always great.
Positive,Best for skinny boys he gain a weight
Positive,"I have just received my parcel and it is just as good as shown. Further, it's the second time I am ordering this product and the service and quality of the product received is very satisfactory. highly recommended."
Positive,"According to dollar fluctuation,this one is value to money butt still missing some flavour. One more suggestion plz countinue of 500g creatine monohydrate its more then preferable of 300g thank you"
Positive,"Product is Good, good packing however got delivery in 7 days even in Khi. Good Mixiblity.. Taste not that goods in row water, need to mix with some other drink"
Positive,"Finally, I received my parcel and the package was perfect. I'll share more further after using💫."
Positive,Really cheap. Almost half the price than other brands
Positive,I regularly use creatine for body strength. The result of this product is satisfactory.
Negative,fake products
Negative,"New packaging, but I think this is fake because the texture of the creatine is different from before like there is a mixture of flour. And in the new packaging there is no certificate from creapure"
Neutral,Received on time. But there is no scope in the Jar. Should I make this product? I want an answer from the seller.
Negative,selling on double price everytime
Negative,pack seal is already open
Positive,"Fresh stock and neat packaging. They seem decent and at a reasonable price. Since, I have started consuming them from a couple of days, results will be known after 20-30 days but so far I am satisfied!"
Positive,Amazing product and it was well packed and delivery was on perfect date which they had given to me.Thank you Daraz..!!
Positive,In local market packed in Pak 30 tab rs 850 and Australian rs 1900 so this is 90 for RS 1850 seems bargain I bought for my eyes after laser eye and doing gym hope it's good for eyes also no where mentioned
Negative,"The box was half filled when I received, doesn't looks like 60 servings (300gram) to me"
Positive,"I haven't been taking it regularly enough to see any significant results. The box itself is well-packaged and the individual servings are easy to use. While I do think it has potential to be effective, my personal experience with it has been less than ideal due to my lack of consistency in taking it."
Neutral,the box says add 2 scoops (5g) of creatine. but each single scoop is already 5g. adding 2 scoops would make it 10g. 10g of creatine is not safe. i dont know if it's printing mistake but please fix it. also it doesnt mix easily. creatine monohydrate is difficult to dissolve but it still won't dissolve easily. as far as results are concerned..I've seen some increase in my lifting numbers but I cant be sure if it's all creatine. no side effects. 👍
Positive,quality is good but price is not
Neutral,"7/10 Well packaged, long expiry date! Good price, smells / taste legit, But i scanned the bar code mutiple times but no result was shown, also seal seems a bitt off!"
Neutral,i rcvd this order but paking is not the same as i already received before ..i m uploading the pics .kindly brief me abt it .is it the same or different ? coz paking and also gels are not same
Positive,"Very comfortable, very cool 😎 outstanding stuff and give help for workout🏋‍♂️"
Positive,MashaAllah ❤️ premium quality or fast delivery as per time same received Thanks Daraz Thanks seller
Positive,Great product as described. Very comfy and fit. Price is little bit high but overall product is best. Recommended
Positive,Product got delivered on time. Product is genuine and came in nice packaging. Recommended Seller 👍
Neutral,Excellent Quality But Size Isn't According To The Size Guide 😔
Neutral,I ordered from here so I can get the perfect size I ordered XL and they sent me L although the quality was very good it is useless.It costs more than Dachi and other stores but my friends also ordered from here and they recommend me this store and I still got the wrong size and even the seller is not replying
Neutral,I ordered total 3 gloves 1 XL 1 L and 1 M.. But i only recieved XL and medium while i paid for all three.. Kindly deliver me the large one ASAP. Other wise the quality is best
Negative,sent me both right hand gloves
Negative,"Very poor grip. I ordered with the expectation that I will get a premium quality in this price. Other brands are offering half of its price I think that would have good option for me. Simply not up to the mark, Grip, Quality and for that low quality price is much higher."
Neutral,Quality is just fine got an issue with the size ordered large size its a bit tight asked seller to change
Negative,"I never received the product,seller has no regard for costumer service. No help from seller"
Negative,Not the same product as i have ordered also different from reviews
Negative,"This item was Unsealed and Stapled, Seal was open. and Also item Quality was not Good"
Negative,"Product is not as per displayed pictures. It is semi automatic i.e only open button, no closing button."
Positive,great umbrella very happy with it came in time in Karachi for me to test it in a thunderstorm. quite strong and is large good enough for 2 people and maybe a small person. also opens automatically with a button. the pouch it came with is super handy and fold small enough for fitting in my backpack
Positive,Umbrella is good and it is opened by clicking the button but closing is manual. Delivery on time and I would suggest keep umbrella with you as these days weather is unpredictable due to climate change.
Negative,Needs to be sewed at the top cause threads coming out
Positive,"Good quality, same as pictures. Feels like it could break as it opens with a lot of force. easy to close again"
Neutral,Good quality umbrella but the handle/stick is a bit shorter than usual
Neutral,"Good quality but improve your packing,umbrella will be in a box."
Negative,very poor service. delivered very late and quality is very bad.
Negative,It's Costly & Nothing auto.
Positive,product quality is good. my thumbs always have cuts because I am not habitual of using cutting board. it is good for me as it really resists cut
Positive,amazing product nice result buttery timing is low
Positive,So Far Working Perfectly. These Are Motion Detected Lights. Extensions For Cycle Tube Are also included. Fit Perfectly In My YB125Z.
Positive,Awesome Must try it out. ITS SO BRIGHT and is battery time is excellent.
Positive,Nice product received from misuli. Battery timing is so good. Watch is in good condition. There are a lot of functions. Recommended product. Thanks daraz and misuli.❤️
Positive,Thanks saller and daraz as expected super cool quality and reasonable price product recommended delivery in one day overall good experience thx again daraz and saller
Positive,Really Very good and Good Product I Like it Very Much. This is My 1st Order nd it's really works good .. Thanks Daraz and Seller Highly Recomanded...
Neutral,"it's good quality touch and material watch, however as it's shown in the picture it's not t500 it's watch 6 and it's missing some features like sitting option etc."
Neutral,I think its great but i cant find a way to convert 24 hr in 12 hr and it doesn't show the heart rate accurately.
Positive,"excellent high quality product, good battery backup, very good connectivity, good for self use and gift as well"
Positive,"Packing was good, delevery in 6 days despite urban flooding and disconnection of roads in monsoon. product is very cool in only 2500/-."
Negative,low Quality fake watch sahme on you guys for this cheating. i am returning now this because of your cheap business
Negative,"not worth the money, expensive as compare to the screen resolution and touch sensory."
Negative,EXTREMELY DISAPPOINTED from this seller. I ordered this watch by seeing reviews from other people but got the defective piece which DIDN'T even TURNED ON. Tried to put on charging but nothing worked only backlight was not I don't know why but the watch was not turning on.
Positive,nice watch easy to use
Positive,trusted seller. response well.seller send me original mibro x1 smart watch.amoled display sounds good.I'm satisfied to purchase this watch from this seller..all features are working perfectly. thanks seller thanks daraz.5 star goes to seller.
Negative,Uncooperative seller. watch stop sleep monitoring after some time . I contacted the seller. he even didn't replied back an SD search #damtech on YouTube for review video. search shopinplanet mibro x1 seller replied after 4 months when I contacted back china and shared email with seller. search #damtech to check review on my channel
Negative,"Application is not run☹️😥, Failure watching"
Negative,software is not working.useless
Neutral,good and nice product same as shown in the pictures but its laggy
Neutral,nice watch but dail not golden ful black
Negative,"At first I thought it��s not charging coz there��s no notification if it is charging. When I tried it for the last time (watch must be placed upward), it worked and has notification. Seller is also responsive to my inquiry."
Positive,Needed to use it before submitting a review. so far so good. I have been using it for my exercise routine and I love it. worth all the penny. Thank you so much seller!
Positive,very good built quality loved it i use it for doing pull ups and also thinking to buy another piece 👍
Positive,Great product and reasonable price. 10/10 would recommend. Planning to buy other sizes as well and replace all my dumbbells
Positive,fast delivery and quality is also good highly recommended for calisthenics and for weight alternative
Positive,"Recieved after 4 days,product is awesome but the packaging was a bit damaged otherwise fully satisfied."
Positive,Nice product highly recommended. will order more from to this seller for sure and so far it hasn't disappointed. only this which requires work is choice of courier service as leopard is doing great over here.
Positive,"Recommended, packed well and timely delivery. I use resistance bands for triceps work out and stretch to it's limits and it seems to endure the force I put in."
Positive,exelent quality But its Tpe metrail not natural latex Stasified with the quality of band👍👌
Positive,Good band for base building. Thinner than my expectations but does the job perfectly.
Positive,Well overall the product is very good and also the plastic is among very soft and its kind of very good
Positive,Excellent band.. I used it for full workout session. did stretched it for 3-4 time than its original length and it didn't snap. Recommended
Positive,"Ordering this for the second time. Previously ordered this one and thicker black one about 16 months ago. Unfortunately a friend borrowed these resistance bands and broke the red one, dont know because they seem very durable i have put them through good use, he may have used them on a coarse or rough service possibly a rusty pipe. Good product considering how expensive they are if you go to a fitness store. These larger bands without the handles are also much better in my opinion because they provide much more freedom in the types of exercises you want to do and the level of resistance you want."
Positive,wow its amazing product belive me no need gym equipments this best experience for beginners .. i am very happy with this resistant band also i ordered black one 25kg resistant ... THANKS DRAZ
Positive,"good, strong long and no permanent stretches. over all nice purchase. highly recommended.😊"
Positive,The quality of a RED LATEX LARGE LOOP RESISTANCE BAND APOLLO 1PC BAND is very good
Positive,Fast delivery and Good Quality Thanks for seller
Neutral,i was recommended for beginners not for body builders its provide maximum weight 35 lbs (15 kg) which is not good according to me
Neutral,normal quality and expensive rates
Negative,very bad packing
Negative,Poor product...I ordered the red one and got the faded pinkish one. Not only that it smells like a 2ruppes ballon.
Negative,WORST QUALITY EVER very thin and had scratches when i returned it they rejected it very bad experience
Negative,A little hard and broke very quickly due to lack of stretch in it
Neutral,Package was broken but the band was new.
Negative,Very uncomfortable
Negative,totally changed product...disappointed no wrist grip not worth according to price.
Positive,love the product in such a low prize
Positive,it's good. easy to install. kids are happy . nice product. happy with my purchase
Positive,super Products my Kids Very Happy Thanks Seller and Daraz
Negative,"Seller disappointed me, recycled plastic material is been used for kids toys having bad burned plastic smell and it's quite thin material, even damaged."
Positive,very good and excellent product and very reasonable price
Negative,Dont buy guys... its recycled plastic... simply poor poor quality... no color scheme...
Positive,Amazing Fitness Ring price very responsible ☺️👏👏
Positive,Exactly the way we wanted them to be . Thank you. I ordered 5 and received 6.
Neutral,normal quality
Positive,It's is good.. It cane a bit damaged but my daughter loves it and plays with it the whole time!! Also not too expensive!! Definitely recommend...
Positive,Very good in quality and price. You make my dauther happy. Thanks.
Neutral,Quality is quite basic. But okay for kids.
Positive,very good product in reason able price
Positive,they are good 👍 totally recommended
Positive,good toy in reasonable price
